Date,0-4 Years,5-17 Years,18-34 Years,35-49 Years,50-64 Years,≥ 65 Years
3/12/2020,8.83%,6.37%,3.11%,3.36%,2.28%,1.53%
3/13/2020,13.13%,6.14%,3.48%,2.95%,3.28%,2.11%
3/14/2020,11.91%,7.40%,3.16%,3.86%,3.17%,2.36%
3/15/2020,10.47%,8.40%,3.19%,3.42%,3.58%,2.22%
3/16/2020,16.50%,10.78%,4.08%,4.81%,3.77%,2.22%
3/17/2020,12.75%,8.30%,4.41%,5.00%,3.46%,2.74%
3/18/2020,16.15%,6.63%,3.81%,4.37%,4.02%,3.85%
3/19/2020,15.13%,7.04%,3.62%,4.13%,4.72%,3.18%
3/20/2020,14.45%,5.85%,3.97%,4.99%,4.69%,3.24%
3/21/2020,14.11%,3.92%,2.24%,4.22%,4.11%,3.07%
3/22/2020,12.85%,5.35%,3.97%,5.05%,4.72%,3.86%
3/23/2020,12.12%,5.74%,4.44%,6.15%,6.15%,4.37%
3/24/2020,13.57%,6.18%,4.72%,6.07%,5.47%,5.03%
3/25/2020,14.94%,5.22%,4.31%,5.41%,5.95%,5.13%
3/26/2020,10.40%,4.67%,3.59%,5.01%,5.36%,4.67%
3/27/2020,12.35%,5.15%,4.33%,6.30%,4.99%,4.72%
3/28/2020,11.24%,3.57%,3.16%,3.57%,5.13%,4.98%
3/29/2020,12.64%,3.56%,2.70%,5.35%,6.37%,4.97%
3/30/2020,10.11%,3.35%,2.97%,5.53%,5.33%,4.68%
3/31/2020,8.83%,3.77%,3.49%,4.32%,5.61%,4.43%
4/1/2020,11.03%,4.64%,2.36%,4.92%,4.78%,4.18%
4/2/2020,7.58%,1.30%,2.66%,3.93%,5.04%,4.13%
4/3/2020,7.79%,1.13%,2.10%,5.45%,5.49%,3.98%
4/4/2020,6.59%,1.90%,2.63%,3.78%,4.52%,3.19%
4/5/2020,3.83%,2.67%,1.93%,3.49%,4.23%,3.16%
4/6/2020,7.17%,1.73%,2.33%,3.84%,4.40%,3.48%
4/7/2020,2.52%,0.97%,2.42%,4.00%,3.56%,3.62%
4/8/2020,5.06%,1.52%,2.55%,3.73%,3.02%,3.52%
4/9/2020,4.74%,4.55%,1.65%,3.11%,3.01%,3.09%
4/10/2020,2.93%,1.06%,1.57%,2.70%,3.24%,2.16%
4/11/2020,6.58%,2.67%,1.53%,2.61%,2.69%,2.16%
4/12/2020,2.27%,2.06%,1.79%,2.39%,2.61%,3.13%
4/13/2020,4.62%,2.57%,2.40%,2.68%,2.22%,2.22%
4/14/2020,2.94%,0.34%,1.72%,2.18%,3.43%,1.91%
4/15/2020,2.60%,2.49%,2.06%,2.23%,3.14%,1.78%
4/16/2020,1.56%,1.83%,1.77%,2.96%,1.99%,2.31%
4/17/2020,2.34%,1.25%,1.70%,2.81%,1.66%,1.73%
4/18/2020,2.66%,1.59%,1.53%,1.56%,1.89%,1.70%
